,Lyrics,URL
140,Lovers in Japan [Osaka Sun Mix],/lyric/19162089/Coldplay/Lovers+in+Japan+%5BOsaka+Sun+Mix%5D
141,Now My Feet Won't Touch the Ground,/lyric/25089809/Coldplay/Now+My+Feet+Won%27t+Touch+the+Ground
142,Lost+,/lyric/17664103/Coldplay/Lost%2B
143,Lovers in Japan [Osaka Sun Mix][Version],/lyric/15177736/Coldplay/Lovers+in+Japan+%5BOsaka+Sun+Mix%5D%5BVersion%5D
144,Lovers in Japan [Osaka Sun Mix] [Version],/lyric/25089810/Coldplay/Lovers+in+Japan+%5BOsaka+Sun+Mix%5D+%5BVersion%5D
145,The Escapist,/lyric/14580701/Coldplay/The+Escapist
146,Viva La Vida [Full Album Version],/lyric/14407635/Coldplay/Viva+La+Vida+%5BFull+Album+Version%5D
147,Bigger Stronger,/lyric/5688512/Coldplay/Bigger+Stronger
148,See You Soon,/lyric/12783369/Coldplay/See+You+Soon
149,Such a Rush,/lyric/5688514/Coldplay/Such+a+Rush
150,For You,/lyric/23132085/Coldplay/For+You
151,Careful Where You Stand,/lyric/23132084/Coldplay/Careful+Where+You+Stand
152,Help Is Round the Corner,/lyric/30527792/Coldplay/Help+Is+Round+the+Corner
153,Brothers and Sisters,/lyric/6693088/Coldplay/Brothers+and+Sisters
154,You Only Live Twice [Live from Norway],/lyric/5224619/Coldplay/You+Only+Live+Twice+%5BLive+from+Norway%5D
155,One I Love,/lyric/12783366/Coldplay/One+I+Love
156,1.36,/lyric/30527821/Coldplay/1.36
157,I Ran Away,/lyric/30527820/Coldplay/I+Ran+Away
158,Crests of Waves,/lyric/6723009/Coldplay/Crests+of+Waves
159,Murder,/lyric/31246921/Coldplay/Murder
160,Things I Don't Understand,/lyric/32662567/Coldplay/Things+I+Don%27t+Understand
161,The World Turned Upside Down,/lyric/30514735/Coldplay/The+World+Turned+Upside+Down
162,Gravity,/lyric/36574803/Coldplay/Gravity
163,How You See the World [Live from Earls Court],/lyric/10585091/Coldplay/How+You+See+the+World+%5BLive+from+Earls+Court%5D
164,Pour Me [Live at the Hollywood Bowl],/lyric/24297031/Coldplay/Pour+Me+%5BLive+at+the+Hollywood+Bowl%5D
165,Daylight [DVD],/lyric/14425950/Coldplay/Daylight+%5BDVD%5D
166,Trouble [DVD],/lyric/14425951/Coldplay/Trouble+%5BDVD%5D
167,Don't Panic [DVD],/lyric/14425953/Coldplay/Don%27t+Panic+%5BDVD%5D
168,The Scientist [DVD],/lyric/14425959/Coldplay/The+Scientist+%5BDVD%5D
169,Life Is for Living [DVD],/lyric/24701280/Coldplay/Life+Is+for+Living+%5BDVD%5D
170,Speed of Sound [Karl G Remix],/lyric/15823206/Coldplay/Speed+of+Sound+%5BKarl+G+Remix%5D
171,Speed of Sound [Steve Porter Remix],/lyric/15823207/Coldplay/Speed+of+Sound+%5BSteve+Porter+Remix%5D
172,Speed of Sound [Taste It Remix],/lyric/15823208/Coldplay/Speed+of+Sound+%5BTaste+It+Remix%5D
173,Trouble [BT Remix],/lyric/15823212/Coldplay/Trouble+%5BBT+Remix%5D
174,You Only Live Twice,/lyric/26536574/Coldplay/You+Only+Live+Twice
175,How You See the World,/lyric/25089836/Coldplay/How+You+See+the+World
176,Pour Me,/lyric/31247740/Coldplay/Pour+Me
177,God Put a Smile upon Your Face,/lyric/24835454/Coldplay/God+Put+a+Smile+upon+Your+Face
